model_id,alpha,held_out_inner_batch_id,spearman,selected_alpha
SEQUENCE_RIDGE_FULL,0.01,PMC7788026:RIPA_PC,-0.02727384919165741,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC7788026:UREA_PC,0.072998320268757,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_10:technical_replicate_1,0.42683982683982685,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_10:technical_replicate_2,0.4723079671936654,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_10:technical_replicate_3,0.4818181818181818,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_11:technical_replicate_1,0.3408042691061559,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_11:technical_replicate_2,0.33775490756622834,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_11:technical_replicate_3,0.3278444825614637,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_12:technical_replicate_1,0.3870851370851371,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_12:technical_replicate_2,0.428342920422037,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_12:technical_replicate_3,0.4593613933236575,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_1:technical_replicate_1,0.37421981004070554,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_1:technical_replicate_2,0.42409197962793377,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_1:technical_replicate_3,0.3820442124640571,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_2:technical_replicate_1,0.28282381213396485,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_2:technical_replicate_2,0.35023765045364535,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_2:technical_replicate_3,0.30379084335960155,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_3:technical_replicate_1,0.5972192315974038,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_3:technical_replicate_2,0.5884216678458273,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_3:technical_replicate_3,0.5952074810052601,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_4:technical_replicate_1,0.367358725702241,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_4:technical_replicate_2,0.3733451835427066,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_4:technical_replicate_3,0.40098666848769765,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_5:technical_replicate_1,0.3871817383669886,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_5:technical_replicate_2,0.466557586399553,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_5:technical_replicate_3,0.4421498644883002,1.0
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_6:technical_replicate_1,0.5222996515679442,1.0
