resample,null_subject_equal_mean_spearman
1,0.030633463924533512
2,0.1261799290187596
3,-0.20294676823203991
4,0.16797695216150396
5,-0.00535377891780692
6,-0.17590585343077927
7,-0.10184458616095768
8,0.20386679603664062
9,0.2851799064927623
10,-0.1321155959130686
11,0.03282766904409161
12,-0.11692380655727073
13,0.233338433997256
14,-0.2220355354382966
15,-0.21090176354782095
16,0.04600269387661878
17,-0.2708469164802284
18,-0.13113253043772116
19,0.00022472435337742388
20,-0.09104482500792177
21,0.004089203628628652
22,-0.007817366971724544
23,-0.026666602957804594
24,-0.024409453231900434
25,0.1445130223335787
26,-0.059209180450998745
27,0.09278108828002572
28,0.09058138314960167
29,-0.23109861357433628
30,0.09111519217766385
31,0.013668635348432007
32,-0.1710096716914403
33,-0.26823361769311094
34,0.026715049281137018
35,-0.010810630819425876
36,-0.07471660484781807
37,-0.15965522686425768
38,0.1778381093154035
39,-0.2646968993445763
40,0.03260680677848161
41,-0.26187970643553554
42,-0.05956930018508884
43,-0.1633713326803663
44,0.326830164340015
45,0.024876106034239696
46,-0.16450336202085336
47,-0.3364500604976238
48,0.05035575791827474
49,-0.28297405757885163
50,0.17843688905967595
51,0.13759859637162633
52,0.07509202864506655
53,-0.1646732814394123
54,-0.14032847581595972
55,-0.0012201418515892862
56,0.10187653298290747
57,0.06480894918458749
58,-0.24048609500145487
59,0.08619201599500607
60,-0.1949434149868849
61,0.1651825982243941
62,-0.042312600275354446
63,-0.05198384943372569
64,0.005723924055954614
65,-0.028759337314759888
66,-0.14046102309239114
67,-0.17781274962482493
68,0.13374294246621424
69,-0.2374482554905855
70,-0.021777040252649628
71,-0.1774817521975171
72,0.09847340192423501
73,0.0760690779572916
74,0.13068517274695302
75,-0.11875664916554984
76,-0.2594995967691404
77,0.07558371077486715
78,-0.03903228795049988
79,-0.04962126035529512
80,-0.18126986248086532
81,0.0024375800229642
82,-0.3238721607678978
83,0.11842942963903297
84,-0.1551373850780804
85,0.16925980779514477
86,0.054819355002533494
87,-0.013008549391882415
88,-0.010886012440097705
89,-0.012663539260575493
90,-0.150405287965193
91,-0.09379335163827784
92,-0.11167466890460791
93,0.04819080738884213
94,0.2034342614863745
95,-0.18594017859120474
96,0.03288213338954969
97,0.003804548824065496
98,-0.08773624472750406
99,0.24285402404162612
100,0.06954241124494238
101,-0.10512769287770181
102,-0.0018011233506666769
103,-0.261224985808907
104,-0.1578463836739016
105,-0.2751659797139738
106,0.10709139633721569
107,0.013878852319314126
108,0.0430848631182483
109,0.10366378870857766
110,-0.17472171709465098
111,-0.10199299322516224
112,-0.25824576698147317
113,-0.16773624236213736
114,-0.007445548716304993
115,0.08581381127837608
116,0.09349240672691582
117,0.04882414316796767
