outer_fold_id,held_out_source_id,resample,selected_alpha,null_mean_spearman
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,1,0.1,-0.13965014577259474
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,2,0.1,-0.2534985422740525
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,3,100.0,0.21851311953352767
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,4,100.0,-0.03221574344023324
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,5,0.01,0.2696793002915452
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,6,100.0,0.010495626822157439
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,7,10.0,0.3282798833819242
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,8,100.0,0.4336734693877552
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,9,100.0,0.30364431486880467
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,10,0.1,0.539067055393586
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,11,100.0,0.6285714285714286
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,12,100.0,0.539067055393586
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,13,100.0,-0.17988338192419825
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,14,100.0,0.6048104956268221
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,15,10.0,-0.16997084548104957
T238_OUTER_01,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,16,100.0,0.5884839650145773
