model_id,alpha,held_out_inner_batch_id,spearman,selected_alpha
SEQUENCE_RIDGE_FULL,0.01,PMC7788026:RIPA_PC,-0.027273849191657411,1
SEQUENCE_RIDGE_FULL,0.01,PMC7788026:UREA_PC,0.072998320268756994,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_10:technical_replicate_1,0.42683982683982685,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_10:technical_replicate_2,0.47230796719366541,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_10:technical_replicate_3,0.48181818181818181,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_11:technical_replicate_1,0.34080426910615591,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_11:technical_replicate_2,0.33775490756622834,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_11:technical_replicate_3,0.3278444825614637,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_12:technical_replicate_1,0.38708513708513709,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_12:technical_replicate_2,0.42834292042203698,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_12:technical_replicate_3,0.4593613933236575,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_1:technical_replicate_1,0.37421981004070554,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_1:technical_replicate_2,0.42409197962793377,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_1:technical_replicate_3,0.38204421246405712,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_2:technical_replicate_1,0.28282381213396485,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_2:technical_replicate_2,0.35023765045364535,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_2:technical_replicate_3,0.30379084335960155,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_3:technical_replicate_1,0.59721923159740375,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_3:technical_replicate_2,0.58842166784582728,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_3:technical_replicate_3,0.59520748100526011,1
SEQUENCE_RIDGE_FULL,0.01,PMC9633814:core_4:technical_replicate_1,0.36735872570224098,1
