outer_fold_id,held_out_laboratory_anchor,selected_alpha,resample,null_mean_spearman
T193_OUTER_01,"Dalian University of Technology, China",100.0,1,-0.20366831740670752
T193_OUTER_01,"Dalian University of Technology, China",100.0,2,0.19542617685032546
T193_OUTER_01,"Dalian University of Technology, China",100.0,3,0.26639470780337654
T193_OUTER_01,"Dalian University of Technology, China",100.0,4,0.36904901514034644
T193_OUTER_01,"Dalian University of Technology, China",100.0,5,0.3137993155795013
T193_OUTER_01,"Dalian University of Technology, China",100.0,6,-0.015767136200572737
T193_OUTER_01,"Dalian University of Technology, China",100.0,7,0.07581023637525185
T193_OUTER_01,"Dalian University of Technology, China",100.0,8,-0.0370992096998289
T193_OUTER_01,"Dalian University of Technology, China",100.0,9,-0.20158076787333754
T193_OUTER_01,"Dalian University of Technology, China",100.0,10,-0.13700031049102254
T193_OUTER_01,"Dalian University of Technology, China",100.0,11,0.08221595655806183
T193_OUTER_01,"Dalian University of Technology, China",100.0,12,0.02845806584196677
T193_OUTER_01,"Dalian University of Technology, China",100.0,13,-0.16576071417402688
T193_OUTER_01,"Dalian University of Technology, China",100.0,14,-0.219854951549998
T193_OUTER_01,"Dalian University of Technology, China",100.0,15,0.06178358105602688
T193_OUTER_01,"Dalian University of Technology, China",100.0,16,0.07402893374255605
T193_OUTER_01,"Dalian University of Technology, China",100.0,17,0.32033196851308304
T193_OUTER_01,"Dalian University of Technology, China",100.0,18,0.05890707160057005
T193_OUTER_01,"Dalian University of Technology, China",100.0,19,-0.23462488663727055
T193_OUTER_01,"Dalian University of Technology, China",100.0,20,0.025595573157492658
T193_OUTER_01,"Dalian University of Technology, China",100.0,21,-0.09999575587810884
T193_OUTER_01,"Dalian University of Technology, China",100.0,22,-0.022869506654336375
T193_OUTER_01,"Dalian University of Technology, China",100.0,23,0.0678031419904485
T193_OUTER_01,"Dalian University of Technology, China",100.0,24,0.08088754640612227
T193_OUTER_01,"Dalian University of Technology, China",100.0,25,-0.1442989715822533
T193_OUTER_01,"Dalian University of Technology, China",100.0,26,-0.39846574993633815
T193_OUTER_01,"Dalian University of Technology, China",100.0,27,-0.16531731512381667
T193_OUTER_01,"Dalian University of Technology, China",100.0,28,0.2969742761538427
T193_OUTER_01,"Dalian University of Technology, China",100.0,29,0.3274778970599404
T193_OUTER_01,"Dalian University of Technology, China",100.0,30,-0.2662983215614794
T193_OUTER_01,"Dalian University of Technology, China",100.0,31,0.12393031375229517
T193_OUTER_01,"Dalian University of Technology, China",100.0,32,-0.10948064233667949
T193_OUTER_01,"Dalian University of Technology, China",100.0,33,0.2124403589186871
T193_OUTER_01,"Dalian University of Technology, China",100.0,34,0.1043898739719173
T193_OUTER_01,"Dalian University of Technology, China",100.0,35,-0.061624817391071264
T193_OUTER_01,"Dalian University of Technology, China",100.0,36,0.04386199455858899
T193_OUTER_01,"Dalian University of Technology, China",100.0,37,-0.4724302400385992
T193_OUTER_01,"Dalian University of Technology, China",100.0,38,-0.20857312622018506
T193_OUTER_01,"Dalian University of Technology, China",100.0,39,0.3404088988067316
T193_OUTER_01,"Dalian University of Technology, China",100.0,40,0.04101664589280688
T193_OUTER_01,"Dalian University of Technology, China",100.0,41,-0.4016949682584358
T193_OUTER_01,"Dalian University of Technology, China",100.0,42,0.049064226966703754
T193_OUTER_01,"Dalian University of Technology, China",100.0,43,0.04669109270502459
T193_OUTER_01,"Dalian University of Technology, China",100.0,44,0.2122740563530037
T193_OUTER_01,"Dalian University of Technology, China",100.0,45,0.017900030825727425
T193_OUTER_01,"Dalian University of Technology, China",100.0,46,-0.03314290628532115
T193_OUTER_01,"Dalian University of Technology, China",100.0,47,0.02554749172396231
T193_OUTER_01,"Dalian University of Technology, China",100.0,48,-0.010966029154883645
T193_OUTER_01,"Dalian University of Technology, China",100.0,49,0.144820663512614
T193_OUTER_01,"Dalian University of Technology, China",100.0,50,0.3497551811793298
T193_OUTER_01,"Dalian University of Technology, China",100.0,51,-0.1910880699967387
T193_OUTER_01,"Dalian University of Technology, China",100.0,52,0.15893231295708074
T193_OUTER_01,"Dalian University of Technology, China",100.0,53,-0.07656569007188202
T193_OUTER_01,"Dalian University of Technology, China",100.0,54,-0.4401107492438762
T193_OUTER_01,"Dalian University of Technology, China",100.0,55,0.01930494685912643
T193_OUTER_01,"Dalian University of Technology, China",100.0,56,0.012967300157702632
T193_OUTER_01,"Dalian University of Technology, China",100.0,57,-0.019926152279093452
T193_OUTER_01,"Dalian University of Technology, China",100.0,58,0.17341403866171667
T193_OUTER_01,"Dalian University of Technology, China",100.0,59,0.11385610863165045
